umls_code,mesh_code
C0009782,D003240
C0009806,D003248
C0009917,D003286
C0009952,D003294
C0010034,D003316
C0010035,D003317
C0010038,D003318
C0010043,D003320
C0010051,D003323
C0010054,D003324
C0010068,D003327
C0010072,D003328
C0010073,D003329
C0010074,D003330
C0010093,D010048
C0010200,D003371
C0010246,D003384
C0010273,D003394
C0010276,D003397
C0010278,D003398
C0010308,D003409
C0010314,D003410
C0010324,D003414
C0010346,D003424
C0010398,D006975
C0010417,D003456
C0010474,D004381
C0010481,D003480
C0010495,D003483
C0010520,D003490
C0010606,D003528
C0010674,D003550
C0010691,D003555
C0010692,D003556
C0010701,D003557
C0010709,D003560
C0010823,D003586
C0010964,D003616
C0011052,D003638
C0011053,D003638
C0011057,D003639
C0011071,D003645
C0011168,D003680
C0011175,D003681
C0011195,D015417
C0011206,D003693
C0011251,D012563
C0011265,D000544
C0011269,D015140
C0011303,D003711
C0011304,D003711
C0011311,D003715
C0011351,D003744
C0011436,D003811
C0011570,D003863
C0011573,D003866
C0011574,D003865
C0011579,D000275
C0011581,D003866
C0011603,D003872
C0011609,D003875
C0011615,D003876
C0011616,D003877
C0011633,D003882
C0011644,D012594
C0011757,D019957
C0011813,D003914
C0011848,D003919
C0011849,D003920
C0011853,D003921
C0011854,D003922
C0011859,D003923
C0011860,D003924
C0011875,D003925
C0011880,D016883
C0011881,D003928
C0011882,D003929
C0011884,D003930
C0011989,D003966
C0011991,D003967
C0011993,D003969
C0011999,D009436
C0012236,D004062
C0012243,D004067
C0012684,D020964
C0012715,D019189
C0012734,D019958
C0012739,D004211
C0013069,D004310
C0013080,D004314
C0013132,D012798
C0013146,D019966
C0013170,D019966
C0013182,D004342
C0013221,D064420
C0013222,D019966
C0013238,D015352
C0013261,D004370
C0013264,D020388
C0013274,D004374
C0013295,D004381
C0013336,D004392
C0013338,D004393
C0013362,D004401
C0013363,D054969
C0013364,D004402
C0013366,D010009
C0013374,D004406
C0013384,D020820
C0013386,D004409
C0013390,D004412
C0013393,D004413
C0013404,D004417
C0013409,D000987
C0013415,D019263
C0013421,D004421
C0013447,D004427
C0013473,D001068
C0013481,D004437
C0013502,D004443
C0013575,D004476
C0013581,D004479
C0013595,D004485
C0013604,D004487
C0013608,D004489
C0013720,D004535
C0013902,D004612
C0013903,D004613
C0013911,D004614
C0013922,D004617
C0013930,D009360
C0013937,D020964
C0013949,D005315
C0013990,D004646
C0014008,D004652
C0014038,D004660
C0014067,D004677
C0014072,D004681
C0014084,D004687
C0014130,D004700
C0014132,D004701
C0014170,D016889
C0014173,D004714
